Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Leonys Martin,Mariners,143,576,15,72,47,24,7.60%,25.90%,0.131,0.313,0.247,0.306,0.378,0.298,89,4.6,-3.1,6.4,2.3,11846
Elvis Andrus,Rangers,147,568,8,75,69,24,8.30%,12.30%,0.136,0.333,0.302,0.362,0.439,0.344,109,2,8,-4.7,2.3,8709
Gregory Polanco,Pirates,144,587,22,79,86,17,9.00%,20.30%,0.205,0.291,0.258,0.323,0.463,0.331,106,0.1,4.7,-1,2.3,12907
Freddy Galvis,Phillies,158,624,20,61,67,17,4.00%,21.80%,0.158,0.28,0.241,0.274,0.399,0.284,74,1,-19.3,21.9,2.3,6609
Brad Miller,Rays,152,601,30,73,81,6,7.80%,24.80%,0.239,0.277,0.243,0.304,0.482,0.333,111,1.4,9.4,-7.5,2.3,12775
J.D. Martinez,Tigers,120,517,22,69,68,1,9.50%,24.80%,0.228,0.378,0.307,0.373,0.535,0.384,143,-3.5,23.1,-18.6,2.2,6184
Salvador Perez,Royals,139,546,22,57,64,0,4.00%,21.80%,0.191,0.28,0.247,0.288,0.438,0.308,89,-4.3,-11.2,14.7,2.2,7304
Jonathan Schoop,Orioles,162,647,25,82,82,1,3.20%,21.20%,0.187,0.305,0.267,0.298,0.454,0.32,99,-0.8,-1.5,1.3,2.2,11265
Chase Utley,Dodgers,138,565,14,79,52,2,7.10%,20.40%,0.145,0.299,0.252,0.319,0.396,0.312,96,1.6,-1.5,4.9,2.2,1679
Jose Iglesias,Tigers,137,513,4,57,32,7,5.50%,9.70%,0.081,0.276,0.255,0.306,0.336,0.283,74,1.7,-14.5,18,2.1,10231
Mark Trumbo,Orioles,159,667,47,94,108,2,7.60%,25.50%,0.277,0.278,0.256,0.316,0.533,0.358,125,-1.4,18.7,-20.5,2.1,6876
Melky Cabrera,White Sox,151,646,14,70,86,2,7.30%,10.70%,0.159,0.314,0.296,0.345,0.455,0.342,116,-3.6,9,-10.2,2.1,4022
Marcus Semien,Athletics,159,621,27,72,75,10,8.20%,22.40%,0.197,0.268,0.238,0.3,0.435,0.315,98,-0.5,-1.7,1,2.1,12533
Adam Jones,Orioles,152,672,29,86,83,2,5.80%,17.10%,0.171,0.28,0.265,0.31,0.436,0.319,98,1.4,-0.3,-2.9,2,6368
Russell Martin,Blue Jays,137,535,20,62,74,2,12.00%,27.70%,0.167,0.291,0.231,0.335,0.398,0.322,101,-1.8,-1.3,2.7,2,4616
Zack Cozart,Reds,121,508,16,67,50,4,7.30%,16.50%,0.172,0.274,0.252,0.308,0.425,0.312,90,-0.5,-6.8,9.8,2,2616
Stephen Piscotty,Cardinals,153,649,22,86,85,7,7.90%,20.50%,0.184,0.319,0.273,0.343,0.457,0.345,116,-3.6,9.1,-10.9,1.9,13367
Jose Abreu,White Sox,159,695,25,67,100,0,6.80%,18.00%,0.175,0.327,0.293,0.353,0.468,0.349,121,-5.5,11.6,-16.2,1.9,15676
Justin Upton,Tigers,153,626,31,81,87,9,8.00%,28.60%,0.219,0.301,0.246,0.31,0.465,0.329,105,1.4,5.4,-8.4,1.8,5222
Joe Panik,Giants,127,526,10,67,62,5,9.50%,8.90%,0.14,0.245,0.239,0.315,0.379,0.3,87,2.1,-6.5,7.5,1.8,11936
Jacoby Ellsbury,Yankees,148,626,9,71,56,20,8.60%,13.40%,0.111,0.295,0.263,0.33,0.374,0.308,90,2.5,-5,0.8,1.7,4727
Maikel Franco,Phillies,152,630,25,67,88,1,6.30%,16.80%,0.172,0.271,0.255,0.306,0.427,0.311,92,-1.4,-7.9,4.7,1.7,12179
Stephen Vogt,Athletics,137,532,14,54,56,0,6.60%,15.60%,0.155,0.275,0.251,0.305,0.406,0.305,91,0.6,-4.9,3.4,1.7,5000
Yunel Escobar,Angels,132,567,5,68,39,0,7.10%,11.80%,0.087,0.339,0.304,0.355,0.391,0.327,107,-5.8,-0.9,-2.1,1.6,4191
Michael Saunders,Blue Jays,140,558,24,70,57,1,10.60%,28.10%,0.224,0.321,0.253,0.338,0.478,0.348,119,-0.9,11.5,-14.6,1.6,9981
Jordy Mercer,Pirates,149,584,11,66,59,1,8.70%,14.20%,0.118,0.286,0.256,0.328,0.374,0.304,88,3.4,-5.3,0.9,1.5,6547
